reason_for_recall,reason_lower,reason_cat,n
"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.). The firm is voluntarily recalling all products manufactured from August 20th to September 10th 2012 due to the possible contamination. All lots with sell by dates on or before","during an fda inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for listeria monocytogenes (l.m.), listeria innocua (l.i.) or listeria seeligeri (l.s.). the firm is voluntarily recalling all products manufactured from august 20th to september 10th 2012 due to the possible contamination. all lots with sell by dates on or before",Bacterial pathogen contamination,50
Dole is suspending operations and withdrawing all marketed Dole and private label salads produced at the Springfield OH facility.  Products may be identified with a product code beginning with the letter A in the upper right hand corner of the package.,dole is suspending operations and withdrawing all marketed dole and private label salads produced at the springfield oh facility.  products may be identified with a product code beginning with the letter a in the upper right hand corner of the package.,Other / Unspecified,49
"Products may potentially contain one or more of the following undeclared tree nuts: Pecans, Almonds, Coconut, Macadamia Nuts, & Walnuts.","products may potentially contain one or more of the following undeclared tree nuts: pecans, almonds, coconut, macadamia nuts, & walnuts.",Undeclared allergen,49
Product may contain undeclared peanut protein.,product may contain undeclared peanut protein.,Undeclared allergen,48
Jams and Jellies are made with butter which is not declared on the label.,jams and jellies are made with butter which is not declared on the label.,Undeclared allergen,47
Undeclared wheat,undeclared wheat,Undeclared allergen,46
GM Manufacturing is recalling dietary supplements due to significant violations of the cGMP regulations for dietary supplements.,gm manufacturing is recalling dietary supplements due to significant violations of the cgmp regulations for dietary supplements.,Regulatory / GMP / Process deviation,46
CFIA sampled one salad product which resulted in a positive result for Listeria monocytogenes.,cfia sampled one salad product which resulted in a positive result for listeria monocytogenes.,Bacterial pathogen contamination,44
Maplehurst Deli-Bake South Inc. the cake supplier notified Publix Super market of a contamination with Listeria Monocytogenes on 11/15/2012.,maplehurst deli-bake south inc. the cake supplier notified publix super market of a contamination with listeria monocytogenes on 11/15/2012.,Bacterial pathogen contamination,44
Product contains undeclared milk.,product contains undeclared milk.,Undeclared allergen,43
Possible contamination with Listeria monocytogenes.,possible contamination with listeria monocytogenes.,Bacterial pathogen contamination,43
Firm was notified by L-Leucine supplier that product may contain cyclamates. Testing of the product confirmed this and a recall was initiated.,firm was notified by l-leucine supplier that product may contain cyclamates. testing of the product confirmed this and a recall was initiated.,Other / Unspecified,43
Potential presence of  Salmonella due to use of recalled whey ingredient,potential presence of  salmonella due to use of recalled whey ingredient,Bacterial pathogen contamination,43
Undeclared allergen; Peanut protein.,undeclared allergen; peanut protein.,Undeclared allergen,42
"JCB Flavors is conducting a recall on various  Seasonings which used  ground cumin as an ingredient received in Oct - Dec 2014.  JCB Flavors was informed by their supplier of ground cumin, Schiff Food Products, that the product tested positive for trace amounts of peanut allergens.","jcb flavors is conducting a recall on various  seasonings which used  ground cumin as an ingredient received in oct - dec 2014.  jcb flavors was informed by their supplier of ground cumin, schiff food products, that the product tested positive for trace amounts of peanut allergens.",Undeclared allergen,42
Consumer complaints related to Cronobacter sakazakii or Salmonella Newport in infants and evidence of Cronobacter sakazakii in the manufacturing facility where the product had been produced,consumer complaints related to cronobacter sakazakii or salmonella newport in infants and evidence of cronobacter sakazakii in the manufacturing facility where the product had been produced,Bacterial pathogen contamination,41
"Various Peanut butters, cheese spreads, cold pack cheese, salsa, cheese balls/logs have the potential to be contaminated with Listeria monocytogenes.","various peanut butters, cheese spreads, cold pack cheese, salsa, cheese balls/logs have the potential to be contaminated with listeria monocytogenes.",Undeclared allergen,40
Products were recalled due to possible Listeria monocytogenes contamination.,products were recalled due to possible listeria monocytogenes contamination.,Bacterial pathogen contamination,39
Undeclared peanut protein in products containing cumin,undeclared peanut protein in products containing cumin,Undeclared allergen,39
Undeclared egg,undeclared egg,Undeclared allergen,38
Products have the potential to be contaminated with Listeria monocytogenes.,products have the potential to be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,38
Undeclared allergen; Peanut Protein,undeclared allergen; peanut protein,Undeclared allergen,38
"Protein powders and nutritional supplement products made of whey concentrate, whey isolate, casein, and colostrum are not labeled as containing milk","protein powders and nutritional supplement products made of whey concentrate, whey isolate, casein, and colostrum are not labeled as containing milk",Undeclared allergen,37
