reason_for_recall,reason_lower,reason_cat,n
FDA samples found the presence of Listeria Monocytogenes in three varieties of cheese.,fda samples found the presence of listeria monocytogenes in three varieties of cheese.,Bacterial pathogen contamination,10
"The label does not identify whey protein concentrate,  contained in the stabilizer, as Milk.","the label does not identify whey protein concentrate,  contained in the stabilizer, as milk.",Undeclared allergen,10
The supplier of the salad oil used in the above product(s) has voluntarily recalled this raw material due to the potential presence of foreign material.  Winter Gardens is continuing this voluntary recall through the supply chain.,the supplier of the salad oil used in the above product(s) has voluntarily recalled this raw material due to the potential presence of foreign material.  winter gardens is continuing this voluntary recall through the supply chain.,Foreign material,10
Product labeling does not contain a listing of ingredients.  Undeclared Soybean oil.,product labeling does not contain a listing of ingredients.  undeclared soybean oil.,Undeclared allergen,10
The firm was notified by a customer that the product was molding before expiration.,the firm was notified by a customer that the product was molding before expiration.,Labeling / Misbranding (non-allergen),10
CDC epidemiologists have linked an outbreak of Listeria monocytogenes illness to caramel apples.,cdc epidemiologists have linked an outbreak of listeria monocytogenes illness to caramel apples.,Bacterial pathogen contamination,10
Product contains milk product from a supplier that is recalling product due to the possible presence of Salmonella.,product contains milk product from a supplier that is recalling product due to the possible presence of salmonella.,Undeclared allergen,10
Undeclared walnut,undeclared walnut,Undeclared allergen,10
"The Florida Department of Agriculture and Consumer Services, during the last inspection, found that the hot and cold smoked, vacuum packaged seafood were not produced under an adequate HACCP plan and held in unsanitary conditions.  The Florida Department of Agriculture and Consumer Services requested a recall of all vacuum packaged seafood products.","the florida department of agriculture and consumer services, during the last inspection, found that the hot and cold smoked, vacuum packaged seafood were not produced under an adequate haccp plan and held in unsanitary conditions.  the florida department of agriculture and consumer services requested a recall of all vacuum packaged seafood products.",Regulatory / GMP / Process deviation,10
The product may be contaminated with Listeria monocytogenes.,the product may be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,10
Dietary supplements have the potential to be contaminated with Salmonella.,dietary supplements have the potential to be contaminated with salmonella.,Bacterial pathogen contamination,10
Granola products may contain pieces of foreign material.,granola products may contain pieces of foreign material.,Foreign material,10
"Stagno's Bakery, Inc. initiated a recall on 05/24/2019 of wholesale frozen bagel dough / bulk  to one direct account because the product is potentially contaminated with E. Coli  .","stagno's bakery, inc. initiated a recall on 05/24/2019 of wholesale frozen bagel dough / bulk  to one direct account because the product is potentially contaminated with e. coli  .",Bacterial pathogen contamination,10
Leo Leo Gelato is recalling gelato and sorbetto because they contain frozen strawberries that may be contaminated with hepatitis A virus.,leo leo gelato is recalling gelato and sorbetto because they contain frozen strawberries that may be contaminated with hepatitis a virus.,Viral contamination,10
Arctic Zero Inc. is recalling their Arctic Zero Frozen Dessert products due to undeclared milk.,arctic zero inc. is recalling their arctic zero frozen dessert products due to undeclared milk.,Undeclared allergen,10
All products manufactured by the firm have the potential to be contaminated with Listeria monocytogenes.,all products manufactured by the firm have the potential to be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,10
Recalled whey powder was used in further production of numerous food products.,recalled whey powder was used in further production of numerous food products.,Other / Unspecified,10
Product may contain undeclared milk product,product may contain undeclared milk product,Undeclared allergen,10
"FreshPoint South Florida is recalling sliced fresh yellow onions and salsa products processed using yellow onions sourced from Gills Onions, LLC which were recalled for Listeria monocytogenes.","freshpoint south florida is recalling sliced fresh yellow onions and salsa products processed using yellow onions sourced from gills onions, llc which were recalled for listeria monocytogenes.",Bacterial pathogen contamination,10
Undeclared walnuts in bakery cakes utilized in ice cream cakes,undeclared walnuts in bakery cakes utilized in ice cream cakes,Undeclared allergen,10
"General Mills is recalling a number of products because of a multistate outbreak of E. coli O121 that may be potentially linked to Gold Medal flour, Wondra flour, and Signature Kitchens flour.  To date, E. coli O121 has not been found in any General Mills flour products or in the flour manufacturing facility and the company has not been contacted directly by any consumer reporting confirmed illnesses related to these products.","general mills is recalling a number of products because of a multistate outbreak of e. coli o121 that may be potentially linked to gold medal flour, wondra flour, and signature kitchens flour.  to date, e. coli o121 has not been found in any general mills flour products or in the flour manufacturing facility and the company has not been contacted directly by any consumer reporting confirmed illnesses related to these products.",Bacterial pathogen contamination,10
Walnut pieces may be contaminated with Listeria monocytogenes which was determined through Third Party Sampling.,walnut pieces may be contaminated with listeria monocytogenes which was determined through third party sampling.,Undeclared allergen,10
"According to the firm, they have detected metal in their product.  The firm learned of the problem through an  internal verification techniques. The firm believes there is a risk of a health hazard. an is enacting this recall.","according to the firm, they have detected metal in their product.  the firm learned of the problem through an  internal verification techniques. the firm believes there is a risk of a health hazard. an is enacting this recall.",Foreign material,10
Work out support nutritional supplements manufactured on shared equipment may contain unknown amounts of whey protein and soy.,work out support nutritional supplements manufactured on shared equipment may contain unknown amounts of whey protein and soy.,Undeclared allergen,10
"contamination with Shiga toxin-producing E. coli (STEC), a bacteria that can cause serious illness in humans. E.coli infection symptoms vary by individual, but often include severe stomach cramps, diarrhea (often bloody), and vomiting. If there is fever, it usually is not very high (less than 101¿F/less than 38.5¿C). Most people get better within 57 days. Some infections are very mild, but others are severe or even life-threatening. Around 510% of those diagnosed with Shiga-toxin producing E.coli infections develop a potentially life-threatening complication known as hemolytic uremic syndrome (HUS). Signs that a person is developing HUS include decreased frequency of urination, feeling very tired, and losing pink color in cheeks and inside the lower eyelids. Persons with HUS should be hospitalized because their kidneys may stop working and they may develop other serious problems. Most persons with HUS recover within a few weeks, but some suffer permanent damage or die.","contamination with shiga toxin-producing e. coli (stec), a bacteria that can cause serious illness in humans. e.coli infection symptoms vary by individual, but often include severe stomach cramps, diarrhea (often bloody), and vomiting. if there is fever, it usually is not very high (less than 101¿f/less than 38.5¿c). most people get better within 57 days. some infections are very mild, but others are severe or even life-threatening. around 510% of those diagnosed with shiga-toxin producing e.coli infections develop a potentially life-threatening complication known as hemolytic uremic syndrome (hus). signs that a person is developing hus include decreased frequency of urination, feeling very tired, and losing pink color in cheeks and inside the lower eyelids. persons with hus should be hospitalized because their kidneys may stop working and they may develop other serious problems. most persons with hus recover within a few weeks, but some suffer permanent damage or die.",Bacterial pathogen contamination,10
Potential hazard of Clostridium botulinum toxin formation as a result of temperature abuse during storage.,potential hazard of clostridium botulinum toxin formation as a result of temperature abuse during storage.,Microbial toxin / spore-forming contamination,10
Goya de Puerto Rico is recalling the following products due to a possible can seam defect that may compromise the integrity of the product.,goya de puerto rico is recalling the following products due to a possible can seam defect that may compromise the integrity of the product.,Other / Unspecified,10
Copacker notified firm of positive results for Salmonella in finished product testing.,copacker notified firm of positive results for salmonella in finished product testing.,Bacterial pathogen contamination,10
"Cut Fruit Express, Inc  processed cantaloupe that was later recalled by the supplier DFI Marketing due to a positive Salmonella sample.","cut fruit express, inc  processed cantaloupe that was later recalled by the supplier dfi marketing due to a positive salmonella sample.",Bacterial pathogen contamination,9
"Bumble Bee Foods, LLC, has issued a recall on specific codes of pouched Albacore tuna due to defects in the pouch seals which could result in product contamination by spoilage organisms or pathogens, and could lead to illness if consumed.","bumble bee foods, llc, has issued a recall on specific codes of pouched albacore tuna due to defects in the pouch seals which could result in product contamination by spoilage organisms or pathogens, and could lead to illness if consumed.",Chemical contamination / Toxins / Adulteration,9
"Pacific Coast Fruit Company, Portland, Oregon is voluntarily recalling multiple types of bagged processed salads based on the potential contamination of Listeria monocytogenes.  The firm utilized a portion of the salads that were recalled by their supplier.","pacific coast fruit company, portland, oregon is voluntarily recalling multiple types of bagged processed salads based on the potential contamination of listeria monocytogenes.  the firm utilized a portion of the salads that were recalled by their supplier.",Bacterial pathogen contamination,9
"G.O. Fresh in Minnesota is voluntarily recalling specific cut items that contain cantaloupe, which has been recalled by DFI Marketing, Inc. due to potential Salmonella contamination.","g.o. fresh in minnesota is voluntarily recalling specific cut items that contain cantaloupe, which has been recalled by dfi marketing, inc. due to potential salmonella contamination.",Bacterial pathogen contamination,9
The products may be contaminated with Chloramphenicol.,the products may be contaminated with chloramphenicol.,Other / Unspecified,9
Acidified product is recalled due to lack production record.,acidified product is recalled due to lack production record.,Regulatory / GMP / Process deviation,9
Finished product may contain foreign matter (glass).,finished product may contain foreign matter (glass).,Foreign material,9
Cheese may be contaminated with Listeria monocytogenes.,cheese may be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,9
Firm received consumer complaint of an allergic reaction after consumption.,firm received consumer complaint of an allergic reaction after consumption.,Other / Unspecified,9
"Midway Specialty Vehicles, LLC dba Aunt Beths Cookies, is voluntarily recalling multiple varieties of cookies sold between January 1, 2017 and September 28, 2017, because they may contain traces of undeclared peanut or tree-nut allergens.","midway specialty vehicles, llc dba aunt beths cookies, is voluntarily recalling multiple varieties of cookies sold between january 1, 2017 and september 28, 2017, because they may contain traces of undeclared peanut or tree-nut allergens.",Undeclared allergen,9
Pasta Products which contain cheese may contain undeclared wheat and milk.,pasta products which contain cheese may contain undeclared wheat and milk.,Undeclared allergen,9
Bright Farms Inc. dba CHI Greenhouse LLC is initiating a voluntary recall of packaged produce due to the potential presence of E. coli.,bright farms inc. dba chi greenhouse llc is initiating a voluntary recall of packaged produce due to the potential presence of e. coli.,Bacterial pathogen contamination,9
potential contamination with E. coli O121:H19,potential contamination with e. coli o121:h19,Bacterial pathogen contamination,9
The dough ball products contain the undeclared allergen milk.,the dough ball products contain the undeclared allergen milk.,Undeclared allergen,9
Undeclared Yellow #5,undeclared yellow #5,Undeclared allergen,9
"Airbrush color has the potential to be contaminated with mold, yeast or bacteria.","airbrush color has the potential to be contaminated with mold, yeast or bacteria.",Spoilage / Quality defect,9
Undeclared allergen: Milk,undeclared allergen: milk,Undeclared allergen,9
Human fingertip found in product filling line.,human fingertip found in product filling line.,Other / Unspecified,9
"New Punjab Sweets, Inc.is initiating a voluntary recall of multiple products due to undeclared allergens wheat and milk.","new punjab sweets, inc.is initiating a voluntary recall of multiple products due to undeclared allergens wheat and milk.",Undeclared allergen,9
Undeclared allergens; tree nuts,undeclared allergens; tree nuts,Undeclared allergen,9
Possible contamination with Shiga toxin-producing E. coli (STEC).,possible contamination with shiga toxin-producing e. coli (stec).,Bacterial pathogen contamination,9
The allergen of coconut was not declared on the label.,the allergen of coconut was not declared on the label.,Undeclared allergen,9
The firm noticed that multiple snack food items for a customer had the same information panel. Therefore the ingredient list and allergen information is incorrect.,the firm noticed that multiple snack food items for a customer had the same information panel. therefore the ingredient list and allergen information is incorrect.,Undeclared allergen,9
Contaminated with non pathogenic E. Coli,contaminated with non pathogenic e. coli,Bacterial pathogen contamination,9
Possible foreign material.,possible foreign material.,Foreign material,9
The firm manufactured and distributed to retailers unpasteurized juice products in violation of 21 CFR 120 Juice HACCP regulations,the firm manufactured and distributed to retailers unpasteurized juice products in violation of 21 cfr 120 juice haccp regulations,Regulatory / GMP / Process deviation,9
Product contains undeclared milk - label failed to include the components of butter in the ingredient statement.,product contains undeclared milk - label failed to include the components of butter in the ingredient statement.,Undeclared allergen,9
"Nestle is recalling a limited number of DiGiorno, Lean Cuisine, and Stouffer's products due to the potential presence of glass pieces.","nestle is recalling a limited number of digiorno, lean cuisine, and stouffer's products due to the potential presence of glass pieces.",Foreign material,9
The sandwiches were made with green leaf and were recalled due to a potential to be contaminated with E. Coli O157:H7.,the sandwiches were made with green leaf and were recalled due to a potential to be contaminated with e. coli o157:h7.,Bacterial pathogen contamination,9
Undeclared Allergen - Wheat,undeclared allergen - wheat,Undeclared allergen,9
During manufacturing pieces of hard clear plastic was found. Upon investigation the source was identified as ice purchased from supplier.,during manufacturing pieces of hard clear plastic was found. upon investigation the source was identified as ice purchased from supplier.,Foreign material,9
foreign materials,foreign materials,Foreign material,9
Undeclared peanuts.,undeclared peanuts.,Undeclared allergen,9
L. mono contamination,l. mono contamination,Other / Unspecified,9
Products may be moldy prior to the end of the stated shelf life.,products may be moldy prior to the end of the stated shelf life.,Spoilage / Quality defect,9
Contains undeclared coconut.,contains undeclared coconut.,Undeclared allergen,9
Two Chefs on a Roll is recalling humus products because they may contain small pieces of material from food grade equipment.,two chefs on a roll is recalling humus products because they may contain small pieces of material from food grade equipment.,Other / Unspecified,9
Products may contain pieces of aluminum.,products may contain pieces of aluminum.,Other / Unspecified,9
Undeclared lysozyme (from egg whites),undeclared lysozyme (from egg whites),Undeclared allergen,9
"The product has been prepared, packed, or held under insanitary conditions wherby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.","the product has been prepared, packed, or held under insanitary conditions wherby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.",Regulatory / GMP / Process deviation,9
Undeclared whey protein which contains milk and soy lecithin.,undeclared whey protein which contains milk and soy lecithin.,Undeclared allergen,9
Undeclared Wheat due to a supplier's inadvertent use of a wheat product instead of whey in preparing the cheese premix for the recalling firm.,undeclared wheat due to a supplier's inadvertent use of a wheat product instead of whey in preparing the cheese premix for the recalling firm.,Undeclared allergen,9
Dietary supplement products are recalled because they were made from ingredient that was contaminated with Chloramphenicol.,dietary supplement products are recalled because they were made from ingredient that was contaminated with chloramphenicol.,Other / Unspecified,9
Product contains an ingredient that was recalled by a supplier because it may be contaminated with Salmonella.,product contains an ingredient that was recalled by a supplier because it may be contaminated with salmonella.,Bacterial pathogen contamination,9
"In cooperation with the FDA's warning to not consume mangoes from Agricola Daniella in Mexico, Del Monte Fresh Produce N.A., Inc, is initiating a voluntary recall of 1,600 bowls of fresh-cut mangoes distributed to retail outlets due to the potential risk that the mangoes may contain Salmonella. Salmonella is an organism which can cause serious and sometimes fatal infections in young children, frai","in cooperation with the fda's warning to not consume mangoes from agricola daniella in mexico, del monte fresh produce n.a., inc, is initiating a voluntary recall of 1,600 bowls of fresh-cut mangoes distributed to retail outlets due to the potential risk that the mangoes may contain salmonella. salmonella is an organism which can cause serious and sometimes fatal infections in young children, frai",Bacterial pathogen contamination,9
"Juice product labels lack the statement ""Phenylketonurics: Contains Phenylalanine""","juice product labels lack the statement ""phenylketonurics: contains phenylalanine""",Other / Unspecified,9
Global Vitality is recalling dietary supplements because they may be contaminated with chloramphenicol.  The dietary supplements were made with a raw ingredient that was on recalled by Specialty Enzymes & Biotechnologies due to chloramphenicol.,global vitality is recalling dietary supplements because they may be contaminated with chloramphenicol.  the dietary supplements were made with a raw ingredient that was on recalled by specialty enzymes & biotechnologies due to chloramphenicol.,Other / Unspecified,9
The firm voluntarily recalled a total of 11 products: this product was recalled due to undeclared FD&C yellow #6.,the firm voluntarily recalled a total of 11 products: this product was recalled due to undeclared fd&c yellow #6.,Undeclared allergen,9
Potential cross contamination from a of product collected by the State Department of Agriculture which tested positive for Listeria Monocytogenes,potential cross contamination from a of product collected by the state department of agriculture which tested positive for listeria monocytogenes,Bacterial pathogen contamination,9
Bergin Fruit and Nut Company is initiating a recall on a number of pistachio products  manufactured using pistachios supplied by ARO Pistachio Inc. Salmonella was found in the environment at  the ARO Pistachio Inc. company.,bergin fruit and nut company is initiating a recall on a number of pistachio products  manufactured using pistachios supplied by aro pistachio inc. salmonella was found in the environment at  the aro pistachio inc. company.,Bacterial pathogen contamination,9
Foreign Material,foreign material,Foreign material,9
Cass-Clay Creamery is voluntarily recalling a number of ice cream products because they may contain undeclared soy (lecithin).,cass-clay creamery is voluntarily recalling a number of ice cream products because they may contain undeclared soy (lecithin).,Undeclared allergen,9
FDA Environmental samples and finished product collected at the firm revealed the presence of Listeria monocytogenes. The firm is recalling the products due to the potential for Listeria contamination.,fda environmental samples and finished product collected at the firm revealed the presence of listeria monocytogenes. the firm is recalling the products due to the potential for listeria contamination.,Bacterial pathogen contamination,9
The product is not FDA approved and not all products are labeled in English.,the product is not fda approved and not all products are labeled in english.,Other / Unspecified,9
"The Santa Barbara Smokehouse, Inc. is recalling fresh and frozen cold smoked salmon due to potential Listeria Monocytogenes contamination.","the santa barbara smokehouse, inc. is recalling fresh and frozen cold smoked salmon due to potential listeria monocytogenes contamination.",Bacterial pathogen contamination,9
"The firm's supplier (of dates/apricots) found Listeria monocytogenes within their facility. As a safety precaution, the firm has recalled their products that may contain dates/apricots.","the firm's supplier (of dates/apricots) found listeria monocytogenes within their facility. as a safety precaution, the firm has recalled their products that may contain dates/apricots.",Bacterial pathogen contamination,9
The firm is recalling various brands of ice cream due to E. coli & high Coliform Bacteria counts in various products.,the firm is recalling various brands of ice cream due to e. coli & high coliform bacteria counts in various products.,Bacterial pathogen contamination,9
Foreign material.,foreign material.,Foreign material,8
Product contains undeclared peanuts,product contains undeclared peanuts,Undeclared allergen,8
Potential to contain undeclared egg,potential to contain undeclared egg,Undeclared allergen,8
Product utilized a gluten-free claim but has as an ingredient a fermented soy sauce that is produced from wheat which was not processed to remove the gluten prior to fermentation.,product utilized a gluten-free claim but has as an ingredient a fermented soy sauce that is produced from wheat which was not processed to remove the gluten prior to fermentation.,Undeclared allergen,8
Food products were manufactured using flour that has been recalled by General Mills due to potential    E-coli contamination.,food products were manufactured using flour that has been recalled by general mills due to potential    e-coli contamination.,Other / Unspecified,8
Potential for metal fragments in baked goods - discovery after increased Metal Detector Rejections.,potential for metal fragments in baked goods - discovery after increased metal detector rejections.,Foreign material,8
Product is potentially contaminated with Listeria Monocytogenes.,product is potentially contaminated with listeria monocytogenes.,Bacterial pathogen contamination,8
"A voluntary recall has been initiated of certain lots and sizes of Justin's Classic Peanut Butter, Organic Peanut Butter, and Natural Honey Peanut Butter in response to Sunland, Inc. voluntarily recalling their nut butter products.  These products have the potential to be contaminated with Salmonella.  On 10/04/2012, Justin's expanded the recall to include more date codes as well as certain lots o","a voluntary recall has been initiated of certain lots and sizes of justin's classic peanut butter, organic peanut butter, and natural honey peanut butter in response to sunland, inc. voluntarily recalling their nut butter products.  these products have the potential to be contaminated with salmonella.  on 10/04/2012, justin's expanded the recall to include more date codes as well as certain lots o",Undeclared allergen,8
Possible Listeria monocytogenes contamination,possible listeria monocytogenes contamination,Bacterial pathogen contamination,8
Frozen Breakfast sandwiches and breakfast burritos have been found to contain milk that is not declared on the label.,frozen breakfast sandwiches and breakfast burritos have been found to contain milk that is not declared on the label.,Undeclared allergen,8
May contain undeclared peanut residue.,may contain undeclared peanut residue.,Undeclared allergen,8
"Some varieties of Kraft and Polly-O String Cheese and String Cheese Twist products may spoil before their """"Best When Used By"""" code dates, leading to product discoloration. The affected products all have code dates from October 25, 2013 through February 11, 2014.","some varieties of kraft and polly-o string cheese and string cheese twist products may spoil before their """"best when used by"""" code dates, leading to product discoloration. the affected products all have code dates from october 25, 2013 through february 11, 2014.",Chemical contamination / Toxins / Adulteration,8
"Routine quality testing identified elevated levels of lead above applicable 2232 levels, which may pose potential health risks to a portion of the population.","routine quality testing identified elevated levels of lead above applicable 2232 levels, which may pose potential health risks to a portion of the population.",Chemical contamination / Toxins / Adulteration,8
Pre-portioned sugar cookie dough contains undeclared milk and pre-portioned walnut chocolate chunk cookie dough contains undeclared egg.,pre-portioned sugar cookie dough contains undeclared milk and pre-portioned walnut chocolate chunk cookie dough contains undeclared egg.,Undeclared allergen,8
A frozen/ refrigerated food trailer holding various types and brands of frozen/ refrigerated foods were temperature abused.,a frozen/ refrigerated food trailer holding various types and brands of frozen/ refrigerated foods were temperature abused.,Temperature control / Storage deviation,8
Pastian's Bakery announces a voluntary field action for various breads due to undeclared wheat allergen.,pastian's bakery announces a voluntary field action for various breads due to undeclared wheat allergen.,Undeclared allergen,8
Firm did not list sub-ingredients. All major allergens were listed in contains statement and/or ingredient list.,firm did not list sub-ingredients. all major allergens were listed in contains statement and/or ingredient list.,Undeclared allergen,8
"Coast Citrus Distributors, Inc. and its divisions Coast Tropical and Olympic Fruit & Vegetables are conducting a voluntary product recall of Kent's brand & Keitt's brand mangoes packed at Agricola Daniella due to salmonella associated with mangoes from this producer.","coast citrus distributors, inc. and its divisions coast tropical and olympic fruit & vegetables are conducting a voluntary product recall of kent's brand & keitt's brand mangoes packed at agricola daniella due to salmonella associated with mangoes from this producer.",Bacterial pathogen contamination,8
salmonella,salmonella,Bacterial pathogen contamination,8
"Foreign material, metal","foreign material, metal",Foreign material,8
Product may contain undeclared wheat.,product may contain undeclared wheat.,Undeclared allergen,8
Potential Salmonella Contamination.,potential salmonella contamination.,Bacterial pathogen contamination,8
FDA sample revealed the presence of Salmonella contamination,fda sample revealed the presence of salmonella contamination,Bacterial pathogen contamination,8
Product is contaminated with mold.,product is contaminated with mold.,Spoilage / Quality defect,8
Lack of functioning Temperature Indicating Devices in retorts,lack of functioning temperature indicating devices in retorts,Other / Unspecified,8
Cheese was transported at elevated temperatures.,cheese was transported at elevated temperatures.,Other / Unspecified,8
Carrot products may be contaminated with Salmonella,carrot products may be contaminated with salmonella,Bacterial pathogen contamination,8
"Sugar Flowers Plus Inc of Glendale, CA is recalling Cake Decors Pastillage (gum paste) Flowers because of the undeclared use of egg white wash as a glue for the inner petals of flowers.","sugar flowers plus inc of glendale, ca is recalling cake decors pastillage (gum paste) flowers because of the undeclared use of egg white wash as a glue for the inner petals of flowers.",Undeclared allergen,8
"The required pre-market notifications for these new  infant formulas have not been submitted to the FDA. Some products contain less than 1 milligram of iron per 100 Calories and may not provide adequate iron for some infants, particularly infants born prematurely or with a low birth weight, had low iron levels at birth, or are at risk for becoming iron deficient due to illness. All products are not labeled as required by 21 CFR 107 .10 and 107.20 and do not bear mandatory labeling statements in English.","the required pre-market notifications for these new  infant formulas have not been submitted to the fda. some products contain less than 1 milligram of iron per 100 calories and may not provide adequate iron for some infants, particularly infants born prematurely or with a low birth weight, had low iron levels at birth, or are at risk for becoming iron deficient due to illness. all products are not labeled as required by 21 cfr 107 .10 and 107.20 and do not bear mandatory labeling statements in english.",Other / Unspecified,8
FDA Office of Colors and Cosmetics sampled product and found virulent and excessive numbers of microorganisms.,fda office of colors and cosmetics sampled product and found virulent and excessive numbers of microorganisms.,Other / Unspecified,8
"Griffith Foods, Inc. has initiated a voluntary recall of multiple products following a supplier's recall of Autolyzed Yeast Powder due to the presence of Salmonella.","griffith foods, inc. has initiated a voluntary recall of multiple products following a supplier's recall of autolyzed yeast powder due to the presence of salmonella.",Bacterial pathogen contamination,8
The firm found two small food-grade stainless steel fragments in two slices of bread.,the firm found two small food-grade stainless steel fragments in two slices of bread.,Foreign material,8
"Senor Murphy Candymaker is recalling Pecan Bueno, Cashew Crunch, Chile Pistachio Bark, Chocolate Pretzels, Chile Peanuts, Pinon Brittle, Peanut Brittle, and Chile Peanut Brittle due to undeclared allergens.","senor murphy candymaker is recalling pecan bueno, cashew crunch, chile pistachio bark, chocolate pretzels, chile peanuts, pinon brittle, peanut brittle, and chile peanut brittle due to undeclared allergens.",Undeclared allergen,8
Potential for Chloramphenicol contamination.,potential for chloramphenicol contamination.,Other / Unspecified,8
Sequel Naturals is recalling nine lots of products due to contamination by trace amount of chloramphenicol.,sequel naturals is recalling nine lots of products due to contamination by trace amount of chloramphenicol.,Other / Unspecified,8
Pink's Ice Cream is recalling all products made with a raw material that there is a potential for the raw material to be contaminated with Listeria monocytogenes.,pink's ice cream is recalling all products made with a raw material that there is a potential for the raw material to be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,8
Firm is recalling all Pistachio products produced in one of their  processing buildings in a two week time frame due to a link with a current outbreak of Salmonellosis.,firm is recalling all pistachio products produced in one of their  processing buildings in a two week time frame due to a link with a current outbreak of salmonellosis.,Other / Unspecified,8
Ingredients used to manufacture seasonings were found to be positive for Salmonella.,ingredients used to manufacture seasonings were found to be positive for salmonella.,Bacterial pathogen contamination,8
Environmental samples positive for Listeria.,environmental samples positive for listeria.,Bacterial pathogen contamination,8
Undeclared Soy Lecithin.  Label declares Chocolate Compound (Sunflower Lecithin) instead of Soy Lecithin.,undeclared soy lecithin.  label declares chocolate compound (sunflower lecithin) instead of soy lecithin.,Undeclared allergen,8
The product test positive for peanut allergen which is not declared on the product label.,the product test positive for peanut allergen which is not declared on the product label.,Undeclared allergen,8
Perishable products were not held at an appropriate temperature.,perishable products were not held at an appropriate temperature.,Other / Unspecified,8
"According to the firm, packaged crusts used in various tarts these tarts contains Almond Flour (Nuts) which is listed as an ingredient on the package, but is not listed as an ingredient on the WFM scale label.","according to the firm, packaged crusts used in various tarts these tarts contains almond flour (nuts) which is listed as an ingredient on the package, but is not listed as an ingredient on the wfm scale label.",Undeclared allergen,8
"Source of whey ingredient not listed as milk, an allergen. Consumers who have an allergy or severe sensitivity to milk  run the risk of a serious or life-threatening allergic reaction if they consume these products.","source of whey ingredient not listed as milk, an allergen. consumers who have an allergy or severe sensitivity to milk  run the risk of a serious or life-threatening allergic reaction if they consume these products.",Undeclared allergen,8
Presence of Undeclared Milk Allergen,presence of undeclared milk allergen,Undeclared allergen,8
The firm initiated a recall of various seasonings because rodent feces was found in samples of oregano.,the firm initiated a recall of various seasonings because rodent feces was found in samples of oregano.,Other / Unspecified,8
"Based on information received from Kerry Food Ingredients and Flav ours, Bay Valley Foods is voluntarily recalling approximately 74,000 cases of boxed pasta mix products manufactured by its subsidiary STP Specialty Foods, Inc. because the recalled products contained a seasoning blend manufactured by Kerry with lactic acid which may contain small metal fragments.","based on information received from kerry food ingredients and flav ours, bay valley foods is voluntarily recalling approximately 74,000 cases of boxed pasta mix products manufactured by its subsidiary stp specialty foods, inc. because the recalled products contained a seasoning blend manufactured by kerry with lactic acid which may contain small metal fragments.",Foreign material,8
"Sunflower kernels in this product are contaminated with Listeria Monocytogenes per the original supplier, SunOpta.","sunflower kernels in this product are contaminated with listeria monocytogenes per the original supplier, sunopta.",Bacterial pathogen contamination,8
Pepperidge Farm has been notified by one of its ingredient suppliers that whey powder in a seasoning that is applied to four varieties of Goldfish crackers has been the subject of a recall by the whey powder manufacturer due to the potential presence of Salmonella.,pepperidge farm has been notified by one of its ingredient suppliers that whey powder in a seasoning that is applied to four varieties of goldfish crackers has been the subject of a recall by the whey powder manufacturer due to the potential presence of salmonella.,Undeclared allergen,8
"The dietary supplements were found to contain lead,  mercury and/or arsenic at levels exceeding permissible limits.","the dietary supplements were found to contain lead,  mercury and/or arsenic at levels exceeding permissible limits.",Chemical contamination / Toxins / Adulteration,8
JLM Manufacturing initiated a recall on 02/21/2017 of multiple ready to eat sandwiches containing cheese because of a supplier's recall of cheese due to Listeria monocytogenes.,jlm manufacturing initiated a recall on 02/21/2017 of multiple ready to eat sandwiches containing cheese because of a supplier's recall of cheese due to listeria monocytogenes.,Bacterial pathogen contamination,8
J&J Distributing Company reported that a small amount of shred carrots were contaminated with metal pieces. The shred carrots were used as ingredient for other RTE items.,j&j distributing company reported that a small amount of shred carrots were contaminated with metal pieces. the shred carrots were used as ingredient for other rte items.,Foreign material,8
An anti-stick spray containing soy lecithin was used during the manufacture of several varieties of bread and soy was not declared as an ingredient on the product labeling.,an anti-stick spray containing soy lecithin was used during the manufacture of several varieties of bread and soy was not declared as an ingredient on the product labeling.,Undeclared allergen,8
Parkers Farm is recalling  cheese and salsa products that may be contaminated with Listeria monocytogenes.  This action is being taken as a precaution in response to testing conducted by the Minnesota Department of Agriculture.,parkers farm is recalling  cheese and salsa products that may be contaminated with listeria monocytogenes.  this action is being taken as a precaution in response to testing conducted by the minnesota department of agriculture.,Bacterial pathogen contamination,8
The firm was notified that the product may contain Listeria monocytogenes.,the firm was notified that the product may contain listeria monocytogenes.,Bacterial pathogen contamination,8
salads and sandwiches contain a sourced cooked egg ingredient which tested positive for Salmonella by the supplier.,salads and sandwiches contain a sourced cooked egg ingredient which tested positive for salmonella by the supplier.,Undeclared allergen,8
"Lansal, Inc. (d.b.a. Hot Mama's Foods) is recalling approximately 14,860 pounds of hummus and dip products due to concerns about possible Listeria monocytogenes.","lansal, inc. (d.b.a. hot mama's foods) is recalling approximately 14,860 pounds of hummus and dip products due to concerns about possible listeria monocytogenes.",Bacterial pathogen contamination,8
Product is potentially mislabeled and contains the non-dietary ingredient Picamilon.,product is potentially mislabeled and contains the non-dietary ingredient picamilon.,Labeling / Misbranding (non-allergen),8
